nohup: ignoring input
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 64]           1,984
              ReLU-2                   [-1, 64]               0
            Linear-3                  [-1, 128]           8,320
              ReLU-4                  [-1, 128]               0
            Linear-5                  [-1, 256]          33,024
              ReLU-6                  [-1, 256]               0
            Linear-7                  [-1, 128]          32,896
              ReLU-8                  [-1, 128]               0
            Linear-9                   [-1, 64]           8,256
             ReLU-10                   [-1, 64]               0
           Linear-11                   [-1, 32]           2,080
           Linear-12                   [-1, 32]           2,080
================================================================
Total params: 88,640
Trainable params: 88,640
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.01
Params size (MB): 0.34
Estimated Total Size (MB): 0.35
----------------------------------------------------------------
encoder: None
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 64]           2,112
              ReLU-2                   [-1, 64]               0
            Linear-3                  [-1, 128]           8,320
              ReLU-4                  [-1, 128]               0
            Linear-5                  [-1, 256]          33,024
              ReLU-6                  [-1, 256]               0
            Linear-7                  [-1, 128]          32,896
              ReLU-8                  [-1, 128]               0
            Linear-9                   [-1, 64]           8,256
             ReLU-10                   [-1, 64]               0
           Linear-11                   [-1, 30]           1,950
================================================================
Total params: 86,558
Trainable params: 86,558
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.01
Params size (MB): 0.33
Estimated Total Size (MB): 0.34
----------------------------------------------------------------
decoder: None
epoch=1000, loss=9.34e-03, min_loss=9.13e-03, kld=21.61, recon=8.90e-03, size_dis=0.053, mean_size=1.12, max_size=138.95(999), time=46.40
epoch=40000, loss=1.91e-03, min_loss=1.86e-03, kld=14.07, recon=1.63e-03, size_dis=0.009, mean_size=0.11, max_size=4.35(996), time=1987.99

19877, 35791, acc=2.65e-02, 3.32e-02, 5.00e-02, cov=2.27e-02, 2.97e-02, 5.95e-02

epoch=41000, loss=1.91e-03, min_loss=1.86e-03, kld=14.19, recon=1.62e-03, size_dis=0.009, mean_size=0.12, max_size=9.53(996), time=2051.79
epoch=42000, loss=1.91e-03, min_loss=1.86e-03, kld=14.21, recon=1.62e-03, size_dis=0.009, mean_size=0.11, max_size=4.28(51), time=2102.19
epoch=43000, loss=1.92e-03, min_loss=1.86e-03, kld=14.15, recon=1.64e-03, size_dis=0.009, mean_size=0.12, max_size=11.96(996), time=2152.46
epoch=44000, loss=1.90e-03, min_loss=1.85e-03, kld=13.91, recon=1.62e-03, size_dis=0.009, mean_size=0.11, max_size=3.25(719), time=2201.15
epoch=45000, loss=1.98e-03, min_loss=1.85e-03, kld=14.50, recon=1.69e-03, size_dis=0.009, mean_size=0.12, max_size=4.17(996), time=2250.76
epoch=46000, loss=1.89e-03, min_loss=1.84e-03, kld=14.00, recon=1.61e-03, size_dis=0.009, mean_size=0.11, max_size=3.19(51), time=2299.65
epoch=47000, loss=2.05e-03, min_loss=1.84e-03, kld=13.83, recon=1.78e-03, size_dis=0.010, mean_size=0.45, max_size=209.01(998), time=2350.07
epoch=48000, loss=2.12e-03, min_loss=1.88e-03, kld=14.80, recon=1.83e-03, size_dis=0.011, mean_size=0.12, max_size=4.58(994), time=2401.28
epoch=49000, loss=1.93e-03, min_loss=1.83e-03, kld=14.11, recon=1.65e-03, size_dis=0.009, mean_size=0.11, max_size=3.93(719), time=2451.45
epoch=50000, loss=2.01e-03, min_loss=1.87e-03, kld=14.29, recon=1.72e-03, size_dis=0.010, mean_size=0.22, max_size=54.46(497), time=2496.91

30162, 35791, acc=2.69e-02, 3.43e-02, 5.08e-02, cov=2.17e-02, 2.93e-02, 4.66e-02

epoch=51000, loss=1.88e-03, min_loss=1.84e-03, kld=14.20, recon=1.59e-03, size_dis=0.009, mean_size=0.11, max_size=3.50(996), time=2555.31
epoch=52000, loss=1.88e-03, min_loss=1.81e-03, kld=14.55, recon=1.59e-03, size_dis=0.008, mean_size=0.11, max_size=3.46(996), time=2599.05
epoch=53000, loss=1.85e-03, min_loss=1.80e-03, kld=13.78, recon=1.57e-03, size_dis=0.008, mean_size=0.11, max_size=2.98(719), time=2643.89
epoch=54000, loss=2.33e-03, min_loss=1.79e-03, kld=13.87, recon=2.05e-03, size_dis=0.014, mean_size=0.68, max_size=97.61(686), time=2686.86
epoch=55000, loss=2.00e-03, min_loss=1.81e-03, kld=15.32, recon=1.69e-03, size_dis=0.009, mean_size=0.11, max_size=4.16(996), time=2734.25
epoch=56000, loss=1.89e-03, min_loss=1.81e-03, kld=13.86, recon=1.61e-03, size_dis=0.009, mean_size=0.27, max_size=157.64(307), time=2784.14
epoch=57000, loss=2.00e-03, min_loss=1.79e-03, kld=14.68, recon=1.71e-03, size_dis=0.008, mean_size=0.11, max_size=3.07(996), time=2836.05
epoch=58000, loss=1.83e-03, min_loss=1.78e-03, kld=14.03, recon=1.55e-03, size_dis=0.008, mean_size=0.11, max_size=3.40(719), time=2887.46
epoch=59000, loss=1.79e-03, min_loss=1.77e-03, kld=14.01, recon=1.51e-03, size_dis=0.008, mean_size=0.11, max_size=4.03(996), time=2937.98
epoch=60000, loss=1.85e-03, min_loss=1.75e-03, kld=14.28, recon=1.57e-03, size_dis=0.008, mean_size=0.10, max_size=2.94(719), time=2987.70

18736, 35791, acc=2.57e-02, 3.41e-02, 4.65e-02, cov=2.25e-02, 3.06e-02, 5.11e-02

epoch=61000, loss=1.81e-03, min_loss=1.76e-03, kld=13.59, recon=1.54e-03, size_dis=0.008, mean_size=0.11, max_size=3.85(996), time=3051.91
epoch=62000, loss=1.78e-03, min_loss=1.75e-03, kld=13.78, recon=1.50e-03, size_dis=0.008, mean_size=0.11, max_size=3.35(996), time=3103.09
epoch=63000, loss=1.85e-03, min_loss=1.75e-03, kld=14.26, recon=1.57e-03, size_dis=0.008, mean_size=0.11, max_size=4.17(996), time=3154.84
epoch=64000, loss=1.79e-03, min_loss=1.74e-03, kld=14.29, recon=1.51e-03, size_dis=0.008, mean_size=0.11, max_size=3.98(51), time=3204.75
epoch=65000, loss=1.84e-03, min_loss=1.75e-03, kld=14.17, recon=1.56e-03, size_dis=0.008, mean_size=0.11, max_size=3.60(996), time=3253.79
epoch=66000, loss=1.83e-03, min_loss=1.73e-03, kld=14.07, recon=1.55e-03, size_dis=0.008, mean_size=0.11, max_size=4.82(996), time=3303.49
epoch=67000, loss=2.57e-03, min_loss=1.75e-03, kld=16.85, recon=2.24e-03, size_dis=0.010, mean_size=0.14, max_size=10.49(496), time=3352.23
epoch=68000, loss=1.76e-03, min_loss=1.73e-03, kld=14.02, recon=1.48e-03, size_dis=0.008, mean_size=0.10, max_size=3.33(719), time=3398.45
epoch=69000, loss=1.74e-03, min_loss=1.70e-03, kld=14.07, recon=1.46e-03, size_dis=0.008, mean_size=0.11, max_size=6.01(194), time=3444.74
epoch=70000, loss=1.75e-03, min_loss=1.70e-03, kld=13.87, recon=1.47e-03, size_dis=0.008, mean_size=0.11, max_size=6.22(194), time=3490.57

20144, 35791, acc=2.60e-02, 3.34e-02, 5.32e-02, cov=2.30e-02, 3.15e-02, 5.30e-02

epoch=71000, loss=1.73e-03, min_loss=1.68e-03, kld=13.80, recon=1.45e-03, size_dis=0.008, mean_size=0.11, max_size=6.09(194), time=3547.76
epoch=72000, loss=1.76e-03, min_loss=1.69e-03, kld=14.38, recon=1.47e-03, size_dis=0.008, mean_size=0.10, max_size=7.01(194), time=3593.72
epoch=73000, loss=1.93e-03, min_loss=1.70e-03, kld=15.31, recon=1.62e-03, size_dis=0.008, mean_size=0.11, max_size=5.15(194), time=3640.07
epoch=74000, loss=1.70e-03, min_loss=1.67e-03, kld=13.87, recon=1.42e-03, size_dis=0.008, mean_size=0.10, max_size=4.98(194), time=3685.85
epoch=75000, loss=1.89e-03, min_loss=1.68e-03, kld=15.29, recon=1.58e-03, size_dis=0.008, mean_size=0.11, max_size=6.30(194), time=3732.40
epoch=76000, loss=1.72e-03, min_loss=1.67e-03, kld=13.91, recon=1.44e-03, size_dis=0.008, mean_size=0.10, max_size=5.70(194), time=3779.55
epoch=77000, loss=2.42e-03, min_loss=1.68e-03, kld=18.46, recon=2.05e-03, size_dis=0.009, mean_size=0.12, max_size=5.18(194), time=3825.77
epoch=78000, loss=1.76e-03, min_loss=1.65e-03, kld=14.47, recon=1.47e-03, size_dis=0.008, mean_size=0.11, max_size=5.31(194), time=3872.85
epoch=79000, loss=1.77e-03, min_loss=1.67e-03, kld=14.02, recon=1.49e-03, size_dis=0.008, mean_size=0.11, max_size=6.14(194), time=3921.35
epoch=80000, loss=2.08e-03, min_loss=1.69e-03, kld=16.12, recon=1.75e-03, size_dis=0.008, mean_size=0.11, max_size=5.54(194), time=3969.25

24461, 35791, acc=2.55e-02, 3.11e-02, 4.56e-02, cov=2.35e-02, 3.02e-02, 5.51e-02

epoch=81000, loss=1.73e-03, min_loss=1.68e-03, kld=13.84, recon=1.45e-03, size_dis=0.008, mean_size=0.11, max_size=6.34(194), time=4028.15
epoch=82000, loss=2.16e-03, min_loss=1.67e-03, kld=15.62, recon=1.84e-03, size_dis=0.009, mean_size=0.13, max_size=7.56(896), time=4075.94
epoch=83000, loss=2.49e-03, min_loss=1.67e-03, kld=16.32, recon=2.16e-03, size_dis=0.009, mean_size=0.13, max_size=6.40(194), time=4123.20
epoch=84000, loss=1.90e-03, min_loss=1.66e-03, kld=14.53, recon=1.61e-03, size_dis=0.008, mean_size=0.11, max_size=4.57(719), time=4168.17
epoch=85000, loss=1.86e-03, min_loss=1.65e-03, kld=14.05, recon=1.57e-03, size_dis=0.009, mean_size=0.11, max_size=6.57(194), time=4212.68
epoch=86000, loss=1.83e-03, min_loss=1.77e-03, kld=15.39, recon=1.53e-03, size_dis=0.008, mean_size=0.12, max_size=6.12(194), time=4260.05
epoch=87000, loss=1.69e-03, min_loss=1.63e-03, kld=14.60, recon=1.40e-03, size_dis=0.008, mean_size=0.11, max_size=5.42(194), time=4308.06
epoch=88000, loss=1.96e-03, min_loss=1.64e-03, kld=14.57, recon=1.66e-03, size_dis=0.008, mean_size=0.13, max_size=8.81(587), time=4355.34
epoch=89000, loss=1.68e-03, min_loss=1.62e-03, kld=13.87, recon=1.40e-03, size_dis=0.008, mean_size=0.11, max_size=4.67(194), time=4402.77
epoch=90000, loss=1.80e-03, min_loss=1.64e-03, kld=13.80, recon=1.52e-03, size_dis=0.009, mean_size=0.11, max_size=9.32(194), time=4450.95

25428, 35791, acc=2.47e-02, 3.03e-02, 4.32e-02, cov=2.17e-02, 2.99e-02, 4.45e-02

epoch=91000, loss=1.81e-03, min_loss=1.78e-03, kld=14.29, recon=1.52e-03, size_dis=0.008, mean_size=0.11, max_size=5.01(165), time=4511.04
epoch=92000, loss=1.84e-03, min_loss=1.69e-03, kld=14.36, recon=1.56e-03, size_dis=0.008, mean_size=0.11, max_size=3.54(192), time=4559.38
epoch=93000, loss=1.63e-03, min_loss=1.62e-03, kld=13.90, recon=1.35e-03, size_dis=0.007, mean_size=0.12, max_size=10.38(720), time=4607.49
epoch=94000, loss=1.80e-03, min_loss=1.60e-03, kld=15.14, recon=1.50e-03, size_dis=0.007, mean_size=0.11, max_size=8.38(720), time=4652.64
epoch=95000, loss=1.67e-03, min_loss=1.60e-03, kld=14.01, recon=1.39e-03, size_dis=0.007, mean_size=0.10, max_size=3.47(192), time=4690.55
epoch=96000, loss=1.84e-03, min_loss=1.59e-03, kld=15.80, recon=1.52e-03, size_dis=0.007, mean_size=0.11, max_size=4.95(347), time=4728.55
epoch=97000, loss=1.65e-03, min_loss=1.58e-03, kld=13.76, recon=1.38e-03, size_dis=0.007, mean_size=0.10, max_size=3.31(996), time=4766.43
epoch=98000, loss=1.69e-03, min_loss=1.59e-03, kld=14.81, recon=1.40e-03, size_dis=0.007, mean_size=0.10, max_size=3.27(996), time=4804.41
epoch=99000, loss=1.65e-03, min_loss=1.59e-03, kld=14.24, recon=1.36e-03, size_dis=0.007, mean_size=0.10, max_size=3.10(996), time=4841.42
epoch=100000, loss=1.68e-03, min_loss=1.62e-03, kld=14.34, recon=1.39e-03, size_dis=0.007, mean_size=0.10, max_size=3.25(996), time=4879.35

23215, 35791, acc=2.43e-02, 3.19e-02, 4.86e-02, cov=2.19e-02, 2.87e-02, 4.87e-02

